label,native,foreign_born,tract,county,standardized_native,standardized_foreign_born,index
Estimate,2484,122,9501,Adams,-0.777232378,-0.423714443,-1.200946821
Estimate,1623,140,9502,Adams,-1.423574378,-0.347868591,-1.771442969
Estimate,1064,517,9503.01,Adams,-1.843208731,1.240680652,-0.60252808
Estimate,1669,765,9503.02,Adams,-1.38904275,2.285667952,0.896625202
Estimate,1841,673,9503.03,Adams,-1.259924487,1.898011373,0.638086885
Estimate,2274,870,9504,Adams,-0.934876768,2.728102091,1.793225323
Estimate,3946,1714,9505,Adams,0.320272854,6.284429838,6.604702692
Estimate,4159,161,9601,Asotin,0.480169307,-0.259381763,0.220787544
Estimate,4659,96,9602,Asotin,0.855513093,-0.533269564,0.32224353
Estimate,3537,96,9603,Asotin,0.013241637,-0.533269564,-0.520027927
Estimate,2448,69,9604,Asotin,-0.80425713,-0.647038342,-1.451295473
Estimate,3323,194,9605,Asotin,-0.147405504,-0.120331034,-0.267736538
Estimate,3805,89,9606,Asotin,0.214425906,-0.562765173,-0.348339267
Estimate,1632,19,9400,Ferry,-1.41681819,-0.857721266,-2.274539456
Estimate,2975,49,9701,Ferry,-0.408644779,-0.731311512,-1.139956291
Estimate,2925,43,9702,Ferry,-0.446179158,-0.756593462,-1.20277262
Estimate,2171,87,9703,Garfield,-1.012197588,-0.57119249,-1.583390078
Estimate,1810,42,9601,Lincoln,-1.283195802,-0.760807121,-2.044002923
Estimate,3190,55,9602,Lincoln,-0.247246951,-0.706029561,-0.953276512
Estimate,2586,42,9603,Lincoln,-0.700662245,-0.760807121,-1.461469366
Estimate,2961,46,9604,Lincoln,-0.419154406,-0.743952487,-1.163106892
Estimate,1875,98,9701,Pend Oreille,-1.23440111,-0.524842247,-1.759243356
Estimate,2773,51,9702,Pend Oreille,-0.560283669,-0.722884195,-1.283167864
Estimate,3069,169,9703,Pend Oreille,-0.338080148,-0.225672495,-0.563752643
Estimate,2646,36,9704,Pend Oreille,-0.655620991,-0.786089072,-1.441710063
Estimate,2725,146,9705,Pend Oreille,-0.596316673,-0.32258664,-0.918903313
Estimate,2708,66,2.01,Spokane,-0.609078361,-0.659679318,-1.268757679
Estimate,1325,58,2.02,Spokane,-1.647279275,-0.693388585,-2.34066786
Estimate,2460,104,3.01,Spokane,-0.79524888,-0.499560296,-1.294809175
Estimate,2519,241,3.02,Spokane,-0.750958313,0.077710914,-0.673247398
Estimate,3589,264,4,Spokane,0.05227739,0.174625059,0.226902449
Estimate,3367,155,5,Spokane,-0.114375251,-0.284663714,-0.399038965
Estimate,3190,56,6,Spokane,-0.247246951,-0.701815902,-0.949062854
Estimate,5158,86,7,Spokane,1.230106192,-0.575406148,0.654700044
Estimate,5205,76,8,Spokane,1.265388508,-0.617542733,0.647845775
Estimate,6077,95,9,Spokane,1.919988072,-0.537483222,1.38250485
Estimate,5436,82,10,Spokane,1.438797338,-0.592260782,0.846536556
Estimate,3326,118,11,Spokane,-0.145153441,-0.440569077,-0.585722519
Estimate,2354,122,12,Spokane,-0.874821762,-0.423714443,-1.298536206
Estimate,3340,84,13,Spokane,-0.134643815,-0.583833465,-0.71847728
Estimate,5301,901,14,Spokane,1.337454515,2.858725503,4.196180019
Estimate,5711,66,15,Spokane,1.64523642,-0.659679318,0.985557103
Estimate,2779,565,16,Spokane,-0.555779544,1.442936258,0.887156714
Estimate,2636,267,18,Spokane,-0.663127867,0.187266035,-0.475861832
Estimate,3615,37,19,Spokane,0.071795267,-0.781875413,-0.710080146
Estimate,3923,149,20,Spokane,0.30300704,-0.309945665,-0.006938625
Estimate,2521,85,21,Spokane,-0.749456938,-0.579619807,-1.329076744
Estimate,4725,99,23,Spokane,0.905058473,-0.520628588,0.384429885
Estimate,2891,86,24,Spokane,-0.471702536,-0.575406148,-1.047108684
Estimate,3209,59,25.01,Spokane,-0.232983887,-0.689174927,-0.922158814
Estimate,2441,151,25.02,Spokane,-0.809511943,-0.301518348,-1.111030291
Estimate,3051,154,25.03,Spokane,-0.351592524,-0.288877372,-0.640469896
Estimate,4215,642,26,Spokane,0.522207811,1.76738796,2.289595771
Estimate,2915,331,29,Spokane,-0.453686034,0.456940177,0.003254143
Estimate,2235,322,30,Spokane,-0.964153584,0.41901725,-0.545136333
Estimate,4538,466,31,Spokane,0.764679897,1.02578407,1.790463967
Estimate,2605,260,32,Spokane,-0.686399181,0.157770425,-0.528628756
Estimate,2569,102,35,Spokane,-0.713423934,-0.507987613,-1.221411547
Estimate,2214,53,36.01,Spokane,-0.979918023,-0.714456878,-1.6943749
Estimate,2215,122,36.02,Spokane,-0.979167335,-0.423714443,-1.402881778
Estimate,1608,137,38,Spokane,-1.434834692,-0.360509566,-1.795344258
Estimate,2020,133,39,Spokane,-1.125551412,-0.3773642,-1.502915612
Estimate,2358,436,40.01,Spokane,-0.871819012,0.899374316,0.027555304
Estimate,2216,85,40.02,Spokane,-0.978416647,-0.579619807,-1.558036454
Estimate,2134,87,41,Spokane,-1.039973028,-0.57119249,-1.611165518
Estimate,4507,219,42,Spokane,0.741408582,-0.014989572,0.72641901
Estimate,3214,227,43,Spokane,-0.22923045,0.018719696,-0.210510754
Estimate,4649,141,44,Spokane,0.848006218,-0.343654932,0.504351285
Estimate,3491,114,45,Spokane,-0.021289992,-0.457423711,-0.478713703
Estimate,3657,219,46.01,Spokane,0.103324145,-0.014989572,0.088334573
Estimate,2898,247,46.02,Spokane,-0.466447723,0.102992865,-0.363454857
Estimate,3171,204,47.01,Spokane,-0.261510015,-0.078194449,-0.339704464
Estimate,3449,296,47.02,Spokane,-0.05281887,0.30946213,0.25664326
Estimate,3815,268,48,Spokane,0.221932782,0.191479693,0.413412475
Estimate,5383,325,49,Spokane,1.399010896,0.431658226,1.830669122
Estimate,4174,221,50,Spokane,0.491429621,-0.006562255,0.484867366
Estimate,3495,123,101.01,Spokane,-0.018287242,-0.419500785,-0.437788026
Estimate,2802,18,101.02,Spokane,-0.53851373,-0.861934924,-1.400448654
Estimate,4270,62,102.01,Spokane,0.563495628,-0.676533951,-0.113038324
Estimate,4222,182,102.03,Spokane,0.527462624,-0.170894935,0.356567689
Estimate,3134,0,102.04,Spokane,-0.289285455,-0.937780776,-1.227066232
Estimate,4714,93,103.01,Spokane,0.89680091,-0.545910539,0.350890371
Estimate,3365,207,103.03,Spokane,-0.115876626,-0.065553474,-0.1814301
Estimate,5619,81,103.04,Spokane,1.576173164,-0.596474441,0.979698723
Estimate,7437,169,103.05,Spokane,2.940923171,-0.225672495,2.715250676
Estimate,7020,655,104.01,Spokane,2.627886453,1.82216552,4.450051973
Estimate,2969,382,104.03,Spokane,-0.413148905,0.671836758,0.258687853
Estimate,2954,45,104.04,Spokane,-0.424409219,-0.748166145,-1.172575364
Estimate,3295,72,105.04,Spokane,-0.168424756,-0.634397367,-0.802822123
Estimate,3512,168,105.05,Spokane,-0.005525553,-0.229886154,-0.235411707
Estimate,5019,275,105.06,Spokane,1.12576062,0.220975302,1.346735922
Estimate,3937,123,105.07,Spokane,0.313516666,-0.419500785,-0.105984119
Estimate,4177,71,105.08,Spokane,0.493681683,-0.638611025,-0.144929342
Estimate,3794,165,106.01,Spokane,0.206168343,-0.242527129,-0.036358786
Estimate,4100,175,106.03,Spokane,0.43587874,-0.200390545,0.235488196
Estimate,3351,114,106.04,Spokane,-0.126386252,-0.457423711,-0.583809963
Estimate,3659,377,107.01,Spokane,0.10482552,0.650768466,0.755593986
Estimate,3320,366,107.02,Spokane,-0.149657567,0.604418223,0.454760656
Estimate,2264,49,108,Spokane,-0.942383644,-0.731311512,-1.673695155
Estimate,2153,79,109.01,Spokane,-1.025709964,-0.604901757,-1.630611722
Estimate,3058,327,109.02,Spokane,-0.346337711,0.440085543,0.093747832
Estimate,3368,93,110,Spokane,-0.113624563,-0.545910539,-0.659535102
Estimate,4218,185,111.02,Spokane,0.524459874,-0.15825396,0.366205914
Estimate,2452,392,111.03,Spokane,-0.80125438,0.713973343,-0.087281037
Estimate,3207,48,111.04,Spokane,-0.234485263,-0.73552517,-0.970010433
Estimate,3881,158,112.02,Spokane,0.271478162,-0.272022738,-0.000544577
Estimate,5020,590,112.03,Spokane,1.126511307,1.54827772,2.674789027
Estimate,1493,556,112.04,Spokane,-1.521163763,1.405013332,-0.116150431
Estimate,3586,188,113.01,Spokane,0.050025328,-0.145612984,-0.095587657
Estimate,4762,447,113.02,Spokane,0.932833913,0.945724559,1.878558472
Estimate,5068,220,114,Spokane,1.162544311,-0.010775913,1.151768397
Estimate,1541,100,115,Spokane,-1.485130759,-0.51641493,-2.001545689
Estimate,1684,58,116,Spokane,-1.377782436,-0.693388585,-2.071171022
Estimate,2157,92,117.01,Spokane,-1.022707214,-0.550124197,-1.572831412
Estimate,6841,690,117.02,Spokane,2.493513378,1.969643567,4.463156944
Estimate,5488,189,118,Spokane,1.477833091,-0.141399326,1.336433765
Estimate,4858,331,119,Spokane,1.00489992,0.456940177,1.461840097
Estimate,3891,83,120,Spokane,0.278985037,-0.588047124,-0.309062086
Estimate,2477,74,121,Spokane,-0.782487191,-0.62597005,-1.408457241
Estimate,2247,56,122,Spokane,-0.955145333,-0.701815902,-1.656961235
Estimate,5716,434,123,Spokane,1.648989858,0.890946999,2.539936857
Estimate,5731,125,124.01,Spokane,1.660250172,-0.411073468,1.249176704
Estimate,6144,357,124.02,Spokane,1.970284139,0.566495297,2.536779436
Estimate,3426,303,125,Spokane,-0.070084684,0.338957739,0.268873055
Estimate,3969,184,126,Spokane,0.337538668,-0.162467618,0.17507105
Estimate,3291,444,127.01,Spokane,-0.171427506,0.933083583,0.761656077
Estimate,2776,136,127.02,Spokane,-0.558031607,-0.364723225,-0.922754831
Estimate,4000,322,128.01,Spokane,0.360809983,0.41901725,0.779827233
Estimate,3361,314,128.02,Spokane,-0.118879376,0.385307983,0.266428606
Estimate,2858,237,129.01,Spokane,-0.496475226,0.06085628,-0.435618945
Estimate,7346,285,129.02,Spokane,2.872610602,0.263111887,3.135722489
Estimate,1036,70,130.01,Spokane,-1.864227984,-0.642824684,-2.507052667
Estimate,2576,233,130.02,Spokane,-0.708169121,0.044001647,-0.664167474
Estimate,5942,380,130.03,Spokane,1.81864525,0.663409441,2.482054691
Estimate,6480,372,131.01,Spokane,2.222515164,0.629700174,2.852215338
Estimate,4896,239,131.02,Spokane,1.033426048,0.069283597,1.102709646
Estimate,7188,203,132.01,Spokane,2.754001966,-0.082408107,2.671593858
Estimate,2590,83,132.03,Spokane,-0.697659495,-0.588047124,-1.285706619
Estimate,4727,86,132.04,Spokane,0.906559848,-0.575406148,0.3311537
Estimate,3486,125,132.05,Spokane,-0.02504343,-0.411073468,-0.436116898
Estimate,3289,65,133,Spokane,-0.172928882,-0.663892976,-0.836821858
Estimate,5296,204,134.01,Spokane,1.333701077,-0.078194449,1.255506628
Estimate,1645,116,135.01,Spokane,-1.407059252,-0.448996394,-1.856055646
Estimate,2181,112,135.02,Spokane,-1.004690712,-0.465851028,-1.47054174
Estimate,5758,320,135.03,Spokane,1.680518736,0.410589933,2.09110867
Estimate,4937,221,136,Spokane,1.064204239,-0.006562255,1.057641984
Estimate,2908,220,137,Spokane,-0.458940847,-0.010775913,-0.46971676
Estimate,3253,211,138,Spokane,-0.199953634,-0.04869884,-0.248652474
Estimate,5167,451,139,Spokane,1.236862381,0.962579193,2.199441573
Estimate,5162,164,140.01,Spokane,1.233108943,-0.246740788,0.986368155
Estimate,5621,675,140.02,Spokane,1.577674539,1.90643869,3.484113228
Estimate,5679,522,141,Spokane,1.621214418,1.261748944,2.882963362
Estimate,3461,86,142,Spokane,-0.043810619,-0.575406148,-0.619216767
Estimate,2865,74,143,Spokane,-0.491220413,-0.62597005,-1.117190462
Estimate,4212,258,144,Spokane,0.519955748,0.149343108,0.669298857
Estimate,1907,94,145,Spokane,-1.210379107,-0.54169688,-1.752075988
Estimate,2189,14,9410,Stevens,-0.998685212,-0.878789558,-1.87747477
Estimate,4446,150,9501.01,Stevens,0.69561664,-0.305732006,0.389884634
Estimate,2832,141,9501.02,Stevens,-0.515993102,-0.343654932,-0.859648035
Estimate,4255,98,9502,Stevens,0.552235314,-0.524842247,0.027393067
Estimate,2690,50,9503,Stevens,-0.622590738,-0.727097853,-1.349688591
Estimate,2423,87,9505,Stevens,-0.82302432,-0.57119249,-1.39421681
Estimate,2342,98,9506,Stevens,-0.883830013,-0.524842247,-1.40867226
Estimate,2333,91,9507,Stevens,-0.890586201,-0.554337856,-1.444924057
Estimate,3264,52,9508,Stevens,-0.191696071,-0.718670536,-0.910366607
Estimate,1482,31,9509,Stevens,-1.529421326,-0.807157364,-2.33657869
Estimate,3566,32,9511,Stevens,0.035011576,-0.802943705,-0.767932129
Estimate,2822,67,9513.01,Stevens,-0.523499978,-0.655465659,-1.178965637
Estimate,1415,5,9513.02,Stevens,-1.579717393,-0.916712484,-2.496429877
Estimate,3753,79,9514.01,Stevens,0.175390152,-0.604901757,-0.429511605
Estimate,4092,334,9514.02,Stevens,0.42987324,0.469581152,0.899454391
Estimate,5857,357,1,Whitman,1.754836806,0.566495297,2.321332103
Estimate,3573,721,2.01,Whitman,0.040266389,2.100266979,2.140533368
Estimate,2195,245,2.02,Whitman,-0.994181086,0.094565548,-0.899615538
Estimate,5336,725,3,Whitman,1.36372858,2.117121613,3.480850193
Estimate,3882,585,4,Whitman,0.272228849,1.527209427,1.799438277
Estimate,3570,463,5,Whitman,0.038014326,1.013143094,1.051157421
Estimate,3102,1568,6.01,Whitman,-0.313307458,5.669235702,5.355928244
Estimate,3800,579,6.02,Whitman,0.210672468,1.501927477,1.712599945
Estimate,3344,72,7,Whitman,-0.131641065,-0.634397367,-0.766038432
Estimate,3602,84,8,Whitman,0.062036329,-0.583833465,-0.521797136
Estimate,3856,47,9,Whitman,0.252710972,-0.739738828,-0.487027856
Estimate,1986,28,10,Whitman,-1.151074789,-0.819798339,-1.970873129
