tract,county,65_older,median_age,65_over_%,moe_65_over,moe_median_age,moe_65_over_%
9501,adams,505,42.6,19.4,78,4.9,3.2
9603,lincoln,728,48.9,27.7,103,2.7,3.5
46.01,spokane,1349,52.6,34.8,271,6.1,5.2
104.01,spokane,616,33.5,8,194,1.5,2.5
120,spokane,751,39.5,18.9,198,3.8,4.5
134.01,spokane,1009,43.4,18.3,130,2.9,2.3
9509,stevens,507,57.1,33.5,88,4.9,4.9
2.01,spokane,334,37.2,12,129,5.4,4.9
9504,adams,308,25.7,9.8,73,2.4,2.6
108,spokane,347,35.3,15,73,3.2,3.6
124.02,spokane,1037,42.9,16,191,4.2,3
137,spokane,418,37.7,13.4,66,4.9,2.4
9514.02,stevens,785,45.5,17.7,203,3.9,4.7
5,spokane,471,37.3,13.4,63,4.2,2.8
31,spokane,535,34.6,10.7,120,4.6,2.8
111.03,spokane,1144,58.3,40.2,332,6.3,8.1
128.01,spokane,608,35.7,14.1,106,6.8,2.7
135.02,spokane,454,54.4,19.8,180,4.2,7.9
141,spokane,1030,39.8,16.6,197,4.4,3.5
9513.01,stevens,468,38.3,16.2,100,5.6,4
38,spokane,324,36,18.6,56,5.2,3.5
103.05,spokane,1132,39.7,14.9,243,3.1,3.4
113.01,spokane,1084,46.8,28.7,455,5.3,8.9
139,spokane,748,38.9,13.3,196,4.4,3.4
9410,stevens,370,35.8,16.8,70,3.9,3.1
42,spokane,888,43.2,18.8,277,3.6,5.2
117.01,spokane,458,45.1,20.4,120,9.2,3.5
129.01,spokane,756,40.7,24.4,262,7.1,7.4
9505,stevens,832,46.8,33.1,244,9.9,7.8
9502,adams,228,40.5,12.9,54,6.3,4.2
9604,lincoln,851,55,28.3,115,1.9,3.2
46.02,spokane,382,35.6,12.1,81,1,2.8
104.03,spokane,636,43.3,19,120,3.4,4.2
121,spokane,377,38,14.8,73,3.4,3
135.01,spokane,364,45.9,20.7,117,4.4,6.7
9511,stevens,931,53.1,25.9,280,7.2,6.5
2.02,spokane,97,29.2,7,59,4,4.4
9505,adams,365,24.2,6.4,102,1.5,2
109.01,spokane,467,41.8,20.9,124,7.8,6.6
125,spokane,560,37.3,15,157,6.4,4.3
138,spokane,0,23.2,0,13,1,1.1
6,spokane,339,31.5,10.4,72,2.9,2.3
32,spokane,732,43.2,25.5,208,12.1,6.4
111.04,spokane,423,27.6,13,122,6,4.2
128.02,spokane,781,41.8,21.3,173,6.4,4.3
135.03,spokane,904,41.1,14.9,262,3.8,3.7
142,spokane,597,44.4,16.8,174,6,4.6
9513.02,stevens,346,48.7,24.4,75,6.6,6.3
9602,asotin,1352,53.9,28.4,185,2.7,4.4
39,spokane,693,53.3,32.2,118,4.2,5.4
113.02,spokane,640,32.4,12.3,136,4.2,3.2
140.01,spokane,432,21.8,8.1,218,0.6,3.9
9501.01,stevens,1180,46.6,25.7,163,4.2,4
43,spokane,968,48,28.1,168,4.6,4.4
117.02,spokane,827,28.9,11,203,1.6,2.7
129.02,spokane,1267,37,16.6,196,3.1,3.9
9506,stevens,587,47.9,24.1,142,5.9,6.1
9503.01,adams,259,34.1,16.4,82,14.2,7
9400,ferry,396,43.9,24,70,3.3,3.8
47.01,spokane,305,32,9,117,2.9,3.8
104.04,spokane,729,51.3,24.3,198,3.4,6.8
122,spokane,269,38.2,11.7,44,6.5,2.4
3.01,spokane,302,35.4,11.8,122,3.5,5.2
9601,asotin,1337,50.1,30.9,183,6.5,5.1
109.02,spokane,338,20.7,10,100,0.5,3
126,spokane,552,32.7,13.3,127,3.6,3.2
130.02,spokane,410,33.1,14.6,127,4,4.8
9503.03,adams,271,29.8,10.8,134,8.2,5.7
7,spokane,649,33.7,12.4,134,4.7,2.3
35,spokane,488,50.7,18.3,99,3.9,3.5
112.02,spokane,701,43.1,17.4,176,4.2,4.4
136,spokane,639,33.4,12.4,112,2.5,2.7
143,spokane,427,44.5,14.5,86,4.1,2.6
9514.01,stevens,834,49.9,21.8,271,6.3,7.4
9603,asotin,396,34.5,10.9,103,2.4,3
40.01,spokane,304,29.8,10.9,96,7.1,4
114,spokane,853,44.6,16.1,120,6.7,3.6
140.02,spokane,569,24.9,9,179,1.2,2.6
9501.02,stevens,866,51.3,29.1,197,14.6,7
1,whitman,86,20.2,1.4,48,0.3,0.8
44,spokane,1015,39.4,21.2,254,3.7,4.7
118,spokane,1224,37.1,21.6,291,6,5.4
130.01,spokane,187,45.7,16.9,44,4.4,5.1
9507,stevens,588,48.4,24.3,125,7.8,5
9503.02,adams,258,29.8,10.6,117,7.7,5.5
9701,ferry,802,52.8,26.5,131,3.4,4.7
47.02,spokane,871,40.9,23.3,153,8.3,3.9
105.04,spokane,714,48.9,21.2,97,6.9,3.1
123,spokane,921,33.5,15,263,7.4,5
3.02,spokane,313,31.7,11.3,104,2.5,4.3
20,spokane,423,34.8,10.4,102,1.4,2.5
110,spokane,538,39.3,15.5,126,4.1,3.9
127.01,spokane,824,43.5,22.1,168,2.4,4.7
130.03,spokane,1050,39.3,16.6,210,4.8,3.9
8,spokane,1370,44.6,25.9,189,3.4,3.5
36.01,spokane,185,27,8.2,85,4.3,4
112.03,spokane,1021,31.7,18.2,270,5.1,5.3
144,spokane,543,36.5,12.1,136,3.2,2.9
9604,asotin,647,38.9,25.7,172,7,5.3
40.02,spokane,185,31.3,8,131,4.5,5.9
115,spokane,202,41.6,12.3,35,2.9,3.4
131.02,spokane,936,43.6,18.2,180,6.2,3.6
9502,stevens,683,40.1,15.7,71,3.1,2.1
2.01,whitman,448,30.4,10.4,168,2.2,3.8
45,spokane,745,44.6,20.7,123,3.1,4.2
119,spokane,817,33.4,15.7,200,2,4.3
9508,stevens,968,59.1,29.2,210,2.8,5.6
15,spokane,777,36.6,13.4,309,4.8,5.2
9702,ferry,897,54.5,30.2,142,2.2,4.9
48,spokane,1030,44.3,25.2,267,7.1,5.4
105.05,spokane,545,33.6,14.8,177,3.7,5
124.01,spokane,1463,47.7,25,299,4.4,5.2
4,spokane,507,34.2,13.2,105,3.3,3
21,spokane,281,32.6,10.8,80,2.6,3.3
111.02,spokane,555,30.7,12.6,129,2.1,3
127.02,spokane,440,32.4,15.1,69,4.9,4.1
131.01,spokane,1049,40.3,15.3,554,3.3,7.3
9,spokane,920,38.8,14.9,92,2.6,2
36.02,spokane,315,32.6,13.5,148,5.4,6.5
112.04,spokane,631,38.5,30.8,188,10.2,8.4
145,spokane,216,41.4,10.8,85,4.6,4.5
9605,asotin,635,36.8,18.1,111,4.8,3.1
41,spokane,598,44.8,26.9,119,6,5.6
116,spokane,248,39.7,14.2,52,6.4,3.2
132.01,spokane,1442,43,19.5,274,3.9,3.2
9503,stevens,610,40.7,22.3,151,5.6,5.4
2.02,whitman,112,28.5,4.6,52,1.1,2.2
29,spokane,403,34.9,12.4,96,4,3.6
16,spokane,358,31.8,10.7,66,3.2,2.8
25.02,spokane,288,28.7,11.1,100,1.7,5
6.02,whitman,92,22.4,2.1,70,0.3,1.6
49,spokane,1354,42.9,23.7,226,6.7,4.8
105.06,spokane,1385,50.1,26.2,271,8,5.1
132.04,spokane,633,36.3,13.2,202,2.4,5.2
23,spokane,869,43.8,18,264,6.3,5.1
102.03,spokane,599,42.5,13.6,102,6.7,2.3
10,spokane,890,42.3,16.1,123,3.4,3.4
19,spokane,398,33.5,10.9,79,4,2.4
26,spokane,336,34.6,6.9,183,4.8,3.8
105.08,spokane,555,40.1,13.1,137,6.2,4
133,spokane,486,46.1,14.5,101,5.2,3.6
9606,asotin,909,48.1,23.3,155,5.2,4.3
25.01,spokane,294,22.6,9,122,2,4.7
103.01,spokane,813,35.6,16.9,175,5.6,3.5
132.03,spokane,563,42.2,21.1,321,9.7,10.2
3,whitman,709,34.1,11.7,159,2.2,2.7
30,spokane,329,30.5,12.9,79,1.9,3
101.02,spokane,542,50.7,19.2,165,11.9,6.5
106.01,spokane,801,41.7,20.2,101,5.5,3.3
9601,lincoln,393,37.4,21.2,84,6.3,5.1
18,spokane,618,42.1,21.3,135,6.5,4.7
25.03,spokane,0,19.7,0,13,0.2,1.2
7,whitman,725,48.6,21.2,89,2.4,2.7
50,spokane,899,39.7,20.5,233,3.5,5.4
105.07,spokane,1002,53,24.7,218,2.6,6.3
132.05,spokane,318,34.3,8.8,118,4.6,4.4
24,spokane,409,34.9,13.7,150,2.9,4.6
102.04,spokane,600,46,19.1,223,3.2,6.4
11,spokane,526,34.7,15.3,72,3.8,2.8
8,whitman,826,44.6,22.4,161,5.8,4.8
101.01,spokane,903,50.8,25,297,4.4,7.8
103.03,spokane,712,45.8,19.9,153,7.4,4.4
4,whitman,929,35.9,20.8,155,3.8,3.9
102.01,spokane,780,43.7,18,241,3.1,5.7
106.03,spokane,1072,51.1,25.1,295,8.1,6.9
9,whitman,874,48,22.4,93,3.4,2.6
9602,lincoln,784,46.3,24.2,121,5.7,3.7
107.01,spokane,453,39.7,11.2,127,3,3.1
106.04,spokane,698,54.8,20.1,217,2.8,6.2
12,spokane,296,33.1,12,66,3.9,3
107.02,spokane,320,34.2,8.7,139,2.5,4
9703,garfield,596,49.7,26.4,98,6.4,4.3
103.04,spokane,1071,43.9,18.8,202,2.6,4
6.01,whitman,52,22.4,1.1,33,0.4,0.7
14,spokane,529,31.4,8.5,135,2.7,2.3
13,spokane,388,36.6,11.3,98,4.1,3.1
5,whitman,7,19.8,0.2,17,0.3,0.4
10,whitman,441,47.4,21.9,95,2.3,3.7
