"GEOID","tract","not_citizen","naturalized_citizen","native_citizen","foreign_born","work_from_home","desktop_or_laptop","desktop_or_laptop_only","smartphone","smartphone_only","tablet_or_portable","has_computer","no_computer","internet_subscription","dial_up","broadband","satellite","other_internet_service","access_with_no_subscription","no_internet_access","sixty_five_and_older","median_income","mean_income","mean_d_mbps","mean_u_mbps","mean_lat_ms","number_providers","lowest_cost"
53001950100,9501,28,94,2484,122,82,754,88,867,153,604,1023,76,910,5,597,96,20,52,137,505,52589,63888,62.6586413043478,9.5285652173913,42.6413043478261,12,30
53001950200,9502,132,8,1623,140,47,448,21,503,68,327,548,64,487,2,223,121,34,9,116,228,59886,61202,61.9772073170732,9.0375243902439,60.9024390243902,12,30
53001950301,9503.01,486,31,1064,517,3,242,17,301,76,190,318,183,327,0,80,132,5,11,163,259,39928,53032,88.0868093023256,13.2451162790698,60.1674418604651,8,30
53001950302,9503.02,571,194,1669,765,26,305,0,554,132,377,566,55,515,0,340,30,8,18,88,258,58884,70361,87.0107878787879,17.036595959596,44.4242424242424,8,30
53001950303,9503.03,545,128,1841,673,110,396,6,581,97,305,608,24,557,0,436,39,16,9,66,271,50915,74863,74.1417594936709,14.2204050632911,37.8924050632911,8,30
53001950400,9504,729,141,2274,870,23,455,46,639,187,429,713,163,685,0,488,48,0,23,168,308,63750,69882,267.839712550607,32.9302469635628,23.8380566801619,9,30
53001950500,9505,1266,448,3946,1714,149,807,25,1483,461,790,1519,175,1368,0,1076,174,0,99,227,365,48542,65116,191.539782945736,34.8328630490956,25.7777777777778,9,30
53003960100,9601,142,19,4159,161,145,1497,150,1401,81,1121,1664,118,1569,8,1183,253,47,30,183,1337,73942,103660,110.327408906883,41.7821012145749,51.7044534412955,12,30
53003960200,9602,22,74,4659,96,421,1679,81,1679,101,1463,1872,142,1780,27,1414,104,13,12,222,1352,72988,96387,145.784802768166,22.8873079584775,24.6262975778547,13,30
53003960300,9603,70,26,3537,96,6,977,59,1193,207,787,1279,85,1156,0,822,47,10,16,192,396,38077,46905,173.40786407767,27.0620194174757,29.9805825242718,11,30
53003960400,9604,36,33,2448,69,29,750,109,715,111,581,941,53,805,73,463,95,12,9,180,647,38777,47096,127.600456896552,23.5382931034483,22.1637931034483,8,40
53003960500,9605,137,57,3323,194,26,1157,96,1163,141,737,1345,181,1198,6,956,79,15,24,304,635,42639,54163,192.429947826087,21.685652173913,21.6608695652174,8,40
53003960600,9606,56,33,3805,89,115,1347,163,1333,84,915,1542,64,1392,14,1041,74,57,11,203,909,53947,69600,151.055206185567,23.5212319587629,26.1855670103093,9,30
53019940000,9400,5,14,1632,19,49,395,44,431,42,368,523,127,401,5,135,196,0,29,220,396,39375,55929,34.6059347826087,8.29621739130435,84.5869565217391,12,20
53019970100,9701,39,10,2975,49,135,811,171,804,190,567,1097,167,798,9,439,279,18,34,432,802,36959,62146,77.5839637681159,10.5729601449275,50.4311594202899,12,20
53019970200,9702,2,41,2925,43,176,876,158,785,124,561,1063,198,960,24,668,142,10,48,253,897,44283,68345,77.3357904191617,9.52116766467066,36.874251497006,12,20
53023970300,9703,83,4,2171,87,116,776,71,774,77,549,897,89,801,0,513,269,14,15,170,596,56923,64502,107.083171428571,68.9318857142857,46.7571428571429,12,30
53043960100,9601,20,22,1810,42,31,609,50,655,64,445,733,36,700,0,546,28,0,21,48,393,55491,63047,44.9228656716418,4.24394029850746,47.3582089552239,8,30
53043960200,9602,32,23,3190,55,238,1118,132,1054,57,762,1283,53,1222,21,587,361,31,3,111,784,62000,79711,71.6639079229122,7.55351605995717,83.3019271948608,13,30
53043960300,9603,22,20,2586,42,129,895,113,920,96,696,1064,70,895,12,514,196,42,26,213,728,67500,79366,62.1507123893805,19.377203539823,102.637168141593,11,30
53043960400,9604,11,35,2961,46,211,1077,158,1041,103,729,1256,133,1146,10,755,216,15,8,235,851,53314,70124,41.0151884057971,7.75215942028986,73.1304347826087,13,30
53051970100,9701,5,93,1875,98,22,758,123,642,48,479,872,60,733,6,457,75,31,40,159,660,56125,81280,59.1927902621723,14.8157640449438,46.7940074906367,7,43
53051970200,9702,25,26,2773,51,106,885,60,1015,147,702,1115,78,867,8,632,81,39,78,248,700,51010,73310,59.9432978056426,22.7075611285266,51.705329153605,13,20
53051970300,9703,76,93,3069,169,29,1022,106,1029,151,648,1219,154,939,7,653,180,94,79,355,725,48844,60393,75.0938036809816,45.5999693251534,54.9325153374233,7,20
53051970400,9704,0,36,2646,36,149,946,38,1038,89,764,1118,77,955,0,699,63,118,71,169,748,54375,69253,64.9964388888889,55.480787037037,40.6685185185185,8,20
53051970500,9705,51,95,2725,146,132,931,117,876,84,743,1041,64,890,23,703,138,45,29,186,741,68607,80253,68.4107468879668,41.1359585062241,27.49377593361,8,20
53063000201,2.01,13,53,2708,66,0,860,42,1056,183,724,1179,116,1179,0,996,14,7,7,109,334,36981,51277,268.822450704225,22.4661971830986,14.4366197183099,7,43
53063000202,2.02,11,47,1325,58,15,450,0,547,100,324,570,46,515,0,427,47,0,9,92,97,40476,44917,304.695,73.5263235294118,10.1764705882353,8,43
53063000301,3.01,40,64,2460,104,130,779,50,948,140,535,1026,69,975,0,792,43,28,27,93,302,35778,42111,267.851379310345,23.1526724137931,14.2241379310345,8,43
53063000302,3.02,186,55,2519,241,12,716,168,756,63,517,946,89,878,0,763,22,3,66,91,313,41271,63836,287.044822222222,48.7061851851852,12.6740740740741,8,43
53063000400,4,233,31,3589,264,173,1150,97,1327,165,897,1488,150,1451,0,1292,86,0,42,145,507,43889,48951,260.232245535714,44.6226741071429,12.3035714285714,9,30
53063000500,5,13,142,3367,155,70,1156,105,1174,168,821,1368,79,1344,0,1186,78,4,9,94,471,53932,68649,246.0845875,57.6012125,11.8875,9,30
53063000600,6,56,0,3190,56,100,1155,56,1186,89,699,1267,19,1224,0,987,51,0,22,40,339,65545,75441,274.087779661017,32.761656779661,15.7076271186441,8,43
53063000700,7,65,21,5158,86,79,1836,92,1926,188,1454,2134,97,1974,0,1775,82,10,80,177,649,53867,69125,320.686944223108,62.2503147410359,13.5258964143426,8,43
53063000800,8,19,57,5205,76,205,1752,196,1551,24,1299,1837,118,1770,9,1566,67,26,50,135,1370,73271,84057,259.059032397408,70.1117796976242,18.0453563714903,8,43
53063000900,9,44,51,6077,95,299,2006,182,1910,91,1649,2177,191,2071,11,1829,79,0,13,284,920,63149,67861,278.534296195652,68.795027173913,15.6929347826087,8,43
53063001000,10,13,69,5436,82,50,1823,90,1899,195,1386,2127,182,2014,0,1616,72,21,0,295,890,61536,76532,264.380339901478,70.466618226601,12.7832512315271,8,43
53063001100,11,37,81,3326,118,161,1236,80,1182,48,955,1311,100,1349,0,1246,62,26,0,62,526,68102,77108,280.185668789809,67.477127388535,13.0891719745223,8,43
53063001200,12,57,65,2354,122,162,821,63,820,66,609,933,56,906,0,797,40,0,18,65,296,49828,61679,240.838968944099,41.9755279503106,12.8695652173913,8,43
53063001300,13,47,37,3340,84,96,1209,77,1319,106,935,1420,101,1361,0,1262,84,10,30,130,388,46209,56596,268.635861538462,28.0627923076923,12.5538461538462,9,30
53063001400,14,527,374,5301,901,87,2105,67,2199,62,1434,2321,94,2226,11,1952,30,0,12,177,529,40786,50693,294.357275303644,73.0917004048583,11.5668016194332,9,30
53063001500,15,37,29,5711,66,128,1666,134,1960,261,1225,2096,299,1928,0,1761,124,22,0,467,777,49783,54369,262.531079365079,98.8584338624339,12.4867724867725,8,43
53063001600,16,373,192,2779,565,49,762,37,1120,239,651,1175,179,1105,0,849,31,9,18,231,358,36096,49085,289.637380952381,87.2321142857143,12.9238095238095,8,43
53063001800,18,171,96,2636,267,123,948,107,893,40,604,1087,288,1018,5,858,53,8,106,251,618,41358,52954,250.66475,65.7410642857143,12.2714285714286,8,43
53063001900,19,0,37,3615,37,152,1131,92,1235,123,957,1379,98,1321,5,1157,35,36,24,132,398,49425,61491,245.447686567164,64.7450373134328,18.4477611940299,8,43
53063002000,20,89,60,3923,149,73,1203,79,1433,278,844,1600,107,1515,18,1272,55,18,92,100,423,33374,43624,264.667534351145,90.5602213740458,11.4045801526718,8,43
53063002100,21,48,37,2521,85,105,919,49,1015,82,698,1081,44,1061,29,938,28,6,20,44,281,63531,78406,256.564538071066,72.8823705583756,11.1827411167513,8,43
53063002300,23,33,66,4725,99,161,1551,102,1758,191,1355,1913,269,1852,0,1485,122,6,60,270,869,48367,64215,260.977993311037,61.5538093645485,12.0903010033445,8,43
53063002400,24,47,39,2891,86,163,697,56,874,154,587,984,168,915,0,706,11,0,30,207,409,26975,43027,200.958527950311,48.7642670807453,16.7391304347826,8,43
53063002501,25.01,45,14,3209,59,105,895,95,972,83,633,1096,15,1049,0,861,15,0,0,62,294,44527,48204,274.263518072289,90.2264819277109,19.289156626506,8,43
53063002502,25.02,70,81,2441,151,16,674,72,728,65,483,828,186,727,0,597,22,0,155,132,288,49167,43259,237.629916666667,76.3932291666667,13.9583333333333,8,43
53063002503,25.03,51,103,3051,154,84,186,0,186,0,99,186,11,168,0,126,17,42,0,29,0,60992.4835164835,134319,254.434033333333,40.7227,11.7833333333333,8,43
53063002600,26,479,163,4215,642,43,1418,160,1838,311,954,2024,59,1960,0,1682,161,44,0,123,336,37711,47679,200.293990654206,18.6947196261682,14.3271028037383,8,43
53063002900,29,132,199,2915,331,100,1022,188,969,71,758,1177,50,1167,0,954,48,9,16,44,403,63977,78961,297.147971014493,27.6603594202899,13.831884057971,8,43
53063003000,30,164,158,2235,322,72,738,38,759,23,599,853,113,778,11,679,48,0,51,137,329,43219,51874,311.439276190476,25.3243952380952,12.9809523809524,9,43
53063003100,31,277,189,4538,466,100,1781,84,1885,173,1234,2066,118,2042,14,1760,96,101,47,95,535,52803,63335,299.081198275862,69.8927155172414,12.5747126436782,8,43
53063003200,32,60,200,2605,260,142,1219,66,1231,149,928,1416,158,1349,27,1162,93,14,145,80,732,43668,53914,246.388242105263,34.2112578947368,12.8947368421053,9,40
53063003500,35,76,26,2569,102,19,1099,155,1197,207,702,1462,376,1332,14,1002,54,25,100,406,488,14280,35942,204.076460784314,38.8275833333333,12.3676470588235,10,30
53063003601,36.01,34,19,2214,53,9,930,19,1119,123,555,1138,80,1093,0,875,35,23,40,85,185,28578,63987,267.650204188482,35.1261465968586,12.1727748691099,8,43
53063003602,36.02,104,18,2215,122,128,1283,63,1416,174,736,1533,166,1491,0,1238,28,0,53,155,315,27073,57890,236.669827586207,25.1263793103448,13.4568965517241,8,43
53063003800,38,40,97,1608,137,38,754,26,816,49,590,854,40,806,0,685,16,0,24,64,324,51159,68840,232.840551401869,14.3519439252336,12.8598130841121,8,43
53063003900,39,52,81,2020,133,81,857,128,741,55,652,951,72,841,12,677,133,30,53,129,693,48250,95414,295.456692090396,26.0906214689266,13.1186440677966,8,43
53063004001,40.01,349,87,2358,436,200,1071,0,1277,140,967,1312,14,1289,0,1000,56,74,0,37,304,52575,57868,238.755933333333,69.9535407407407,13.2888888888889,8,43
53063004002,40.02,27,58,2216,85,64,1121,38,1196,90,764,1257,19,1250,0,1119,0,32,7,19,185,38045,56067,233.663199376947,63.7494205607477,13.4641744548287,8,43
53063004100,41,38,49,2134,87,158,871,58,876,86,723,1030,42,965,0,824,19,0,0,107,598,65217,95531,250.027679611651,28.2376165048544,13.7961165048544,8,43
53063004200,42,65,154,4507,219,323,1764,92,1730,41,1492,1865,71,1820,0,1582,52,24,0,116,888,96071,127232,310.873706199461,67.1584474393531,11.9487870619946,8,43
53063004300,43,59,168,3214,227,147,1354,150,1234,22,1061,1423,93,1385,10,1287,38,0,39,92,968,89917,129387,269.860329004329,30.7569350649351,12.8744588744589,8,43
53063004400,44,30,111,4649,141,137,1803,87,1849,44,1605,2038,91,1846,0,1606,27,62,56,227,1015,57904,82534,311.408134453782,37.7587927170868,11.8011204481793,8,43
53063004500,45,21,93,3491,114,202,1333,94,1372,55,1129,1486,16,1423,0,1322,29,7,35,44,745,91250,141676,294.59177,69.2099125,13.04,9,40
53063004601,46.01,63,156,3657,219,83,1411,130,1466,174,1169,1744,380,1629,7,1448,67,98,94,401,1349,42979,59508,246.701181538462,22.6198215384615,14.5384615384615,8,43
53063004602,46.02,79,168,2898,247,264,1061,72,1074,56,877,1156,74,1091,11,907,72,43,9,130,382,85643,97470,226.044125,34.649375,12.6375,8,43
53063004701,47.01,52,152,3171,204,210,890,29,1011,31,954,1077,59,1036,0,829,87,71,41,59,305,79318,79421,261.612118110236,20.0726299212598,14.4724409448819,7,43
53063004702,47.02,187,109,3449,296,153,1451,72,1423,14,1184,1566,131,1550,0,1282,51,83,14,133,871,66685,76839,257.599643037975,18.4666810126582,12.6126582278481,9,43
53063004800,48,101,167,3815,268,190,1641,48,1894,304,1272,1981,76,1695,12,1428,98,59,196,166,1030,51467,76843,271.535189655172,19.3884885057471,13.0862068965517,8,43
53063004900,49,88,237,5383,325,299,2148,142,2076,12,1592,2255,60,2242,13,1963,213,113,13,60,1354,93162,134076,275.031858527132,27.639507751938,12.781007751938,9,43
53063005000,50,118,103,4174,221,121,1549,183,1514,94,1098,1782,218,1629,0,1331,33,54,108,263,899,59135,112579,237.042424302789,20.5530039840637,19.7768924302789,8,43
53063010101,101.01,30,93,3495,123,199,1091,41,1260,94,1081,1334,147,1306,0,987,223,40,18,157,903,55852,90468,109.389606299213,17.7399156355456,35.7379077615298,9,43
53063010102,101.02,0,18,2802,18,135,941,88,826,21,682,980,65,929,14,624,176,57,18,98,542,89401,104983,91.0664026845638,8.83357550335571,39.2785234899329,5,43
53063010201,102.01,13,49,4270,62,313,1538,93,1574,114,922,1723,135,1531,0,1073,534,0,76,251,780,70407,84246,55.0139133522727,6.83800710227273,52.8082386363636,8,43
53063010203,102.03,40,142,4222,182,292,1396,22,1427,36,1182,1449,0,1395,0,1210,223,17,18,36,599,108194,128147,148.432377777778,11.8906777777778,28.6259259259259,8,43
53063010204,102.04,0,0,3134,0,143,822,79,787,97,640,939,35,937,20,360,421,95,2,35,600,79417,112051,36.8408192488263,8.92951643192488,53.5,8,43
53063010301,103.01,45,48,4714,93,123,1452,104,1667,297,1124,1833,154,1683,17,1464,186,82,0,304,813,52959,64882,286.958032751092,22.8455021834061,26.5065502183406,8,43
53063010303,103.03,47,160,3365,207,179,1091,64,1082,57,779,1210,26,1192,0,720,166,99,18,26,712,75635,90989,31.7220490998363,5.98401636661211,68.6153846153846,11,30
53063010304,103.04,48,33,5619,81,143,1717,114,1873,258,1299,2074,183,1928,28,1170,413,70,40,289,1071,54171,67425,46.8591424802111,7.36162137203166,117.781002638522,10,43
53063010305,103.05,75,94,7437,169,340,2517,113,2427,17,2204,2604,40,2512,0,1990,284,76,21,111,1132,100705,104291,139.121456692913,12.2178503937008,67.4,9,43
53063010401,104.01,318,337,7020,655,60,1300,44,1528,241,1099,1636,116,1583,0,1316,75,0,35,134,616,55490,62569,258.711844884488,28.0375280528053,22.1749174917492,10,30
53063010403,104.03,38,344,2969,382,72,1007,65,1003,123,689,1148,74,1130,0,426,400,60,4,88,636,83542,87962,63.881,8.55056368563686,50.4336043360434,9,43
53063010404,104.04,21,24,2954,45,174,1030,153,983,105,734,1157,102,1048,45,578,231,20,2,209,729,76063,92417,42.0673973880597,6.0406473880597,50.0988805970149,8,43
53063010504,105.04,34,38,3295,72,64,1216,71,1171,38,1009,1307,21,1288,7,1091,77,9,0,40,714,76339,93164,235.789990950226,16.5440995475113,25.0588235294118,7,43
53063010505,105.05,94,74,3512,168,94,1150,83,1158,72,963,1241,0,1212,0,1081,80,58,0,29,545,88681,97061,238.498242524917,21.5205681063123,17.5182724252492,8,43
