"tract","county","dataset","estimate_estimate_total","estimate_estimate_total_has_a_computer","estimate_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","estimate_estimate_total_has_a_computer_with_a_broadband_internet_subscription","estimate_estimate_total_has_a_computer_without_an_internet_subscription","estimate_estimate_total_no_computer","moe_estimate_total","moe_estimate_total_has_a_computer","moe_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","moe_estimate_total_has_a_computer_with_a_broadband_internet_subscription","moe_estimate_total_has_a_computer_without_an_internet_subscription","moe_estimate_total_no_computer"
9501,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",1099,1023,5,899,119,76,100,99,7,90,41,29
9502,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",612,548,2,485,61,64,97,96,3,94,24,32
9503.01,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",501,318,0,283,35,183,92,77,13,85,32,102
9503.02,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",621,566,0,515,51,55,123,124,13,133,40,48
9503.03,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",632,608,0,557,51,24,122,119,13,124,44,28
9504,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",876,713,0,661,52,163,111,115,13,123,44,84
9505,"adams","presence_of_a_computer_and_type_of_internet_subscription_in_household",1694,1519,0,1352,167,175,159,178,18,207,106,96
9601,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",1782,1664,8,1551,105,118,199,191,13,196,46,55
9602,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",2014,1872,27,1753,92,142,147,151,32,160,61,82
9603,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",1364,1279,0,1156,123,85,145,142,13,149,70,47
9604,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",994,941,73,728,140,53,133,136,98,95,62,36
9605,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",1526,1345,6,1192,147,181,126,130,10,137,99,77
9606,"asotin","presence_of_a_computer_and_type_of_internet_subscription_in_household",1606,1542,14,1378,150,64,157,167,21,189,99,45
9400,"ferry","presence_of_a_computer_and_type_of_internet_subscription_in_household",650,523,5,396,122,127,79,70,6,67,34,34
9701,"ferry","presence_of_a_computer_and_type_of_internet_subscription_in_household",1264,1097,9,789,299,167,132,129,10,124,114,59
9702,"ferry","presence_of_a_computer_and_type_of_internet_subscription_in_household",1261,1063,24,925,114,198,149,147,24,123,63,74
9703,"garfield","presence_of_a_computer_and_type_of_internet_subscription_in_household",986,897,0,801,96,89,86,82,13,87,45,40
2.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1295,1179,0,1117,62,116,180,153,13,157,27,104
2.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",616,570,0,515,55,46,120,125,13,122,35,35
3.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1095,1026,0,975,51,69,151,130,13,142,53,82
3.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1035,946,0,878,68,89,158,163,13,171,59,59
4,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1638,1488,0,1440,48,150,214,225,13,235,35,70
5,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1447,1368,0,1344,24,79,122,122,13,120,24,43
6,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1286,1267,0,1224,43,19,118,120,13,116,24,17
7,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2231,2134,0,1960,174,97,307,298,18,335,97,52
8,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1955,1837,0,1754,83,118,140,149,18,151,69,61
9,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2368,2177,11,2046,120,191,209,227,19,249,67,105
10,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2309,2127,0,2014,113,182,265,282,18,282,76,93
11,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1411,1311,0,1301,10,100,192,200,13,201,15,62
12,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",989,933,0,906,27,56,100,97,13,101,18,29
13,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1521,1420,0,1361,59,101,193,188,13,192,50,62
14,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2415,2321,11,2201,109,94,242,244,18,238,80,74
15,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2395,2096,0,1928,168,299,337,298,18,199,221,222
16,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1354,1175,0,1105,70,179,142,151,13,153,41,66
18,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1375,1087,0,993,94,288,170,164,13,166,56,127
19,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1477,1379,5,1316,58,98,133,131,8,133,30,56
20,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1707,1600,18,1467,115,107,183,184,19,192,77,62
21,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1125,1081,29,1032,20,44,159,158,29,164,22,35
23,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2182,1913,0,1842,71,269,319,258,13,255,71,212
24,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1152,984,0,915,69,168,148,145,13,139,53,81
25.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1111,1096,0,1049,47,15,194,195,13,199,50,23
25.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1014,828,0,701,127,186,194,198,13,98,147,86
25.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",197,186,0,168,18,11,72,75,13,73,30,18
26,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2083,2024,0,1960,64,59,253,268,13,281,65,73
29,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1227,1177,0,1160,17,50,221,220,13,222,19,25
30,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",966,853,11,752,90,113,106,104,15,102,50,42
31,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2184,2066,14,2004,48,118,297,294,23,298,57,82
32,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1574,1416,27,1303,86,158,273,241,23,238,46,127
35,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1838,1462,14,1245,203,376,162,184,17,193,93,118
36.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1218,1138,0,1082,56,80,288,289,13,291,35,66
36.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1699,1533,0,1491,42,166,286,290,13,285,52,116
1,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1177,1160,0,1050,110,17,169,171,18,177,64,27
38,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",894,854,0,806,48,40,96,97,13,102,27,23
2.01,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1905,1878,0,1849,29,27,329,322,13,314,29,33
39,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1023,951,12,829,110,72,144,142,15,141,60,46
2.02,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",945,945,0,881,64,0,159,159,13,159,56,13
40.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1326,1312,0,1289,23,14,288,288,13,285,30,22
3,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",2392,2351,0,2235,116,41,239,242,18,243,94,37
40.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1276,1257,0,1240,17,19,189,190,13,193,21,23
4,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1998,1774,0,1555,219,224,203,197,13,200,124,106
41,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1072,1030,0,965,65,42,119,124,13,129,60,47
5,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",447,430,0,169,261,17,109,111,13,93,84,20
42,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1936,1865,0,1820,45,71,201,214,13,215,31,48
6.01,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",2250,2250,0,1885,365,0,322,322,13,310,136,13
43,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1516,1423,10,1375,38,93,153,164,16,169,33,56
6.02,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1997,1947,0,1618,329,50,276,263,13,228,154,80
44,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2129,2038,0,1846,192,91,278,294,13,228,197,52
7,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1480,1359,6,1211,142,121,135,131,7,119,51,37
45,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1502,1486,0,1416,70,16,152,151,13,151,43,18
8,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1424,1283,0,1077,206,141,200,206,13,175,112,75
46.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2124,1744,7,1593,144,380,272,227,10,229,78,170
9,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1587,1443,4,1286,153,144,141,132,6,128,54,32
46.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1230,1156,11,1075,70,74,196,213,17,214,46,65
10,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",883,846,26,708,112,37,122,120,17,95,80,18
47.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1136,1077,0,1036,41,59,195,199,13,209,54,64
47.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1697,1566,0,1536,30,131,188,185,13,188,33,91
48,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2057,1981,12,1671,298,76,285,285,19,221,205,37
49,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2315,2255,13,2229,13,60,230,234,21,236,21,54
50,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2000,1782,0,1613,169,218,239,233,13,243,111,118
9601,"lincoln","presence_of_a_computer_and_type_of_internet_subscription_in_household",769,733,0,700,33,36,82,91,13,93,26,28
101.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1481,1334,0,1272,62,147,227,243,13,245,52,103
9602,"lincoln","presence_of_a_computer_and_type_of_internet_subscription_in_household",1336,1283,21,1193,69,53,139,137,19,133,38,26
101.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1045,980,14,915,51,65,193,201,21,204,46,79
9603,"lincoln","presence_of_a_computer_and_type_of_internet_subscription_in_household",1134,1064,12,872,180,70,100,109,9,94,71,30
102.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1858,1723,0,1531,192,135,412,408,13,403,75,85
9604,"lincoln","presence_of_a_computer_and_type_of_internet_subscription_in_household",1389,1256,10,1136,110,133,135,135,8,127,37,42
102.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1449,1449,0,1395,54,0,99,99,13,113,62,13
102.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",974,939,20,917,2,35,125,127,30,131,13,38
103.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1987,1833,17,1666,150,154,195,183,19,164,89,79
103.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1236,1210,0,1192,18,26,153,163,13,163,19,40
103.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2257,2074,28,1886,160,183,212,216,32,212,113,126
103.05,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2644,2604,0,2497,107,40,516,515,18,506,143,41
104.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1752,1636,0,1577,59,116,153,153,18,142,38,62
104.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1222,1148,0,1128,20,74,194,189,13,190,17,63
104.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1259,1157,45,979,133,102,135,137,48,145,94,69
128.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1461,1315,0,1293,22,146,217,179,13,180,24,163
105.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1328,1307,7,1270,30,21,111,111,12,111,27,23
129.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1197,1061,0,955,106,136,144,139,13,135,71,64
105.05,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1241,1241,0,1212,29,0,172,172,13,172,26,13
129.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2639,2500,14,2208,278,139,275,295,22,294,113,89
105.06,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2401,2264,14,2173,77,137,217,214,23,218,47,62
130.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",400,400,0,400,0,0,77,77,13,77,13,13
105.07,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1658,1590,0,1525,65,68,183,192,13,192,54,70
130.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1309,1230,0,1120,110,79,191,177,13,166,103,67
105.08,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1322,1313,0,1253,60,9,216,219,13,222,70,17
130.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2328,2178,0,2125,53,150,314,306,18,303,60,80
106.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1372,1291,0,1285,6,81,122,134,13,136,11,53
131.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",3423,3365,0,2927,438,58,701,691,18,499,482,68
106.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1910,1884,0,1850,34,26,275,271,13,271,36,30
131.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2065,1981,19,1942,20,84,254,249,36,265,31,90
106.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1342,1273,0,1259,14,69,183,188,13,188,23,55
132.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2696,2637,18,2465,154,59,194,200,28,224,94,43
107.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1462,1447,0,1390,57,15,161,160,13,160,61,28
132.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1061,1049,0,1026,23,12,227,226,13,229,27,19
107.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1162,1135,0,1124,11,27,136,138,13,135,18,33
132.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1602,1550,0,1478,72,52,246,247,13,238,72,49
108,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",971,823,0,750,73,148,141,104,13,100,36,103
132.05,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1211,1211,0,1141,70,0,222,222,13,226,78,13
109.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",813,803,0,759,44,10,128,128,13,130,37,15
133,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1208,1182,12,1090,80,26,177,178,18,188,46,23
109.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",685,685,0,685,0,0,86,86,13,86,13,13
134.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2019,2003,0,1977,26,16,242,248,18,246,24,18
110,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1476,1388,8,1311,69,88,172,170,14,161,55,52
135.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",651,633,0,571,62,18,101,109,13,106,51,30
111.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1729,1627,0,1552,75,102,232,211,13,216,42,89
135.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",893,875,0,857,18,18,165,164,13,170,32,30
111.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1685,1422,38,1331,53,263,284,291,43,281,63,111
135.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2211,2199,0,2181,18,12,301,302,18,306,30,21
111.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1294,1164,40,1079,45,130,230,231,37,234,37,88
136,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1962,1897,0,1826,71,65,218,221,18,219,51,54
112.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1602,1527,0,1450,77,75,214,215,13,234,58,39
137,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1377,1320,44,1175,101,57,157,151,33,154,59,38
127.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",899,857,0,826,31,42,138,139,13,141,21,33
112.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2658,2321,14,2111,196,337,357,299,23,322,111,230
138,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",826,813,0,740,73,13,154,153,13,117,105,20
128.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1639,1591,0,1525,66,48,133,134,13,143,51,27
112.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",981,880,12,853,15,101,145,157,20,155,23,75
139,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2157,2086,12,2063,11,71,215,225,20,226,17,52
113.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1592,1465,0,1465,0,127,277,265,13,265,13,78
140.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1733,1658,0,1491,167,75,234,234,18,234,80,56
113.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2015,1996,1,1898,97,19,332,332,4,307,127,28
140.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2594,2469,0,2361,108,125,281,281,18,295,69,91
114,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2115,1987,0,1987,0,128,305,310,18,310,18,78
141,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2377,2182,0,2090,92,195,246,271,18,275,73,100
115,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",629,603,0,580,23,26,133,134,13,134,19,17
142,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1504,1426,14,1237,175,78,280,278,17,272,98,46
116,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",764,713,0,683,30,51,78,75,13,80,17,20
143,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1134,1037,23,946,68,97,115,105,16,104,29,35
117.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1120,1004,0,943,61,116,137,141,13,135,50,61
144,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1729,1632,0,1560,72,97,187,194,13,194,59,48
117.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",3229,3083,0,2725,358,146,331,348,18,372,149,94
145,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",868,774,4,683,87,94,138,140,7,139,51,68
118,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2847,2470,0,1967,503,377,387,411,18,313,330,134
9410,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",858,731,4,520,207,127,100,90,8,78,50,43
119,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2062,1873,8,1770,95,189,243,265,12,278,63,90
9501.01,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1876,1591,7,1368,216,285,148,161,6,166,59,80
120,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1842,1762,7,1677,78,80,311,319,10,318,60,59
9501.02,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1310,1190,0,1080,110,120,202,200,13,200,56,62
121,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1119,1008,0,939,69,111,143,139,13,140,44,58
9502,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1488,1308,9,1105,194,180,157,164,15,147,121,76
122,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",962,846,5,759,82,116,106,105,7,98,51,56
9503,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1041,977,6,932,39,64,110,110,10,108,32,48
123,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2533,2246,106,2041,99,287,332,336,147,311,87,143
9505,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1171,1048,0,954,94,123,193,193,13,182,76,67
124.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2168,1825,0,1774,51,343,325,264,18,258,39,195
9506,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1003,890,11,831,48,113,109,115,11,108,38,50
124.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2447,2394,0,2302,92,53,173,180,18,184,78,48
9507,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1022,881,3,813,65,141,99,90,5,90,34,57
125,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1345,1221,0,1197,24,124,151,166,13,168,23,76
9508,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1379,1234,8,1089,137,145,160,162,12,144,70,70
126,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1716,1644,0,1471,173,72,222,231,13,230,87,63
9509,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",705,608,9,501,98,97,72,67,7,52,60,33
127.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1846,1561,7,1484,70,285,209,212,11,206,64,110
9511,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1507,1423,10,1134,279,84,187,186,9,167,88,37
9513.01,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",960,817,0,778,39,143,126,128,13,130,35,75
9513.02,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",619,539,0,465,74,80,96,90,13,90,46,33
9514.01,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1404,1156,50,952,154,248,202,187,59,189,100,119
9514.02,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1540,1524,0,1430,94,16,116,122,13,134,75,25
